                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1375,                 4.0632,                 1.5151,                0.23351,                0.43488,                0.31385,                0.19341,                 1.1925,                 2.8273,                  1.665,              0.0033274,              0.0033274,              0.0033274
                      1,                 1.1742,                    3.2,                 1.4805,                0.55156,                0.54147,                0.55164,                0.35877,                 1.1727,                 1.9809,                 1.6357,              0.0065948,              0.0065948,              0.0065948
                      2,                 1.2351,                 2.8865,                 1.4947,                0.49055,                0.45936,                0.45178,                0.27178,                  1.366,                 2.3074,                 1.8537,              0.0097962,              0.0097962,              0.0097962
                      3,                 1.2954,                 2.6157,                 1.5134,                 0.5863,                0.52745,                0.56472,                0.36085,                 1.2601,                  2.029,                 1.7214,               0.009703,               0.009703,               0.009703
                      4,                 1.2447,                 2.2729,                 1.4747,                0.71099,                0.64839,                0.70843,                0.47333,                 1.0992,                 1.5476,                 1.5575,               0.009703,               0.009703,               0.009703
                      5,                 1.1906,                 2.0395,                 1.4284,                 0.7675,                0.66516,                0.73751,                0.49982,                 1.0818,                 1.4204,                 1.5189,               0.009604,               0.009604,               0.009604
                      6,                 1.1553,                 1.8758,                 1.4019,                0.81747,                0.73802,                0.81409,                0.56001,                 1.0275,                 1.1775,                 1.4997,               0.009505,               0.009505,               0.009505
                      7,                 1.1279,                 1.7811,                  1.387,                0.81218,                0.74666,                0.81591,                0.56445,                 1.0521,                 1.1624,                  1.516,               0.009406,               0.009406,               0.009406
                      8,                 1.1047,                 1.6902,                 1.3671,                0.87537,                0.76653,                0.85508,                0.60158,                0.99006,                 1.0972,                 1.4312,               0.009307,               0.009307,               0.009307
                      9,                 1.0783,                 1.6021,                 1.3491,                0.83821,                0.78662,                0.85299,                0.59581,                 1.0032,                 1.0423,                 1.4657,               0.009208,               0.009208,               0.009208
                     10,                 1.0664,                 1.5763,                 1.3381,                0.76836,                0.76987,                0.83328,                0.59551,                0.97464,                 1.0514,                 1.4101,               0.009109,               0.009109,               0.009109
                     11,                 1.0421,                  1.517,                 1.3218,                0.85036,                0.75018,                0.84659,                 0.6042,                0.95968,                 1.0274,                 1.4119,                0.00901,                0.00901,                0.00901
                     12,                 1.0398,                 1.4723,                 1.3177,                0.82686,                0.79874,                0.85501,                0.61698,                0.95823,                 1.0198,                 1.4124,               0.008911,               0.008911,               0.008911
                     13,                 1.0243,                 1.4459,                 1.3035,                0.85454,                0.80101,                0.86685,                0.62949,                0.94473,                 0.9607,                 1.3917,               0.008812,               0.008812,               0.008812
                     14,                 1.0141,                  1.409,                  1.304,                0.83246,                0.79339,                 0.8627,                0.62402,                0.96521,                 0.9567,                 1.4071,               0.008713,               0.008713,               0.008713
                     15,                0.99853,                 1.3862,                 1.2934,                0.85027,                0.82038,                0.87955,                0.64544,                  0.922,                0.89956,                 1.3713,               0.008614,               0.008614,               0.008614
