                  epoch,               box_loss,               cls_loss,               dfl_loss,              precision,                 recall,                  mAP50,               mAP50-95,               box_loss,               cls_loss,               dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0534,                 3.9991,                  1.447,                 0.3241,                0.41532,                0.34472,                0.25769,                0.98557,                 2.5298,                 1.4553,              0.0033276,              0.0033276,              0.0033276
                      1,                 1.0719,                 3.0762,                  1.402,                0.61955,                0.51931,                0.54834,                0.41143,                 1.0253,                 2.1027,                 1.4956,               0.006595,               0.006595,               0.006595
                      2,                 1.1132,                 2.6892,                 1.3937,                0.59959,                0.54004,                0.59541,                0.44487,                0.97416,                  1.944,                 1.4578,              0.0097963,              0.0097963,              0.0097963
                      3,                 1.1474,                 2.4022,                 1.4014,                 0.6948,                0.64697,                0.71691,                0.53254,                0.98695,                 1.5164,                 1.4328,               0.009703,               0.009703,               0.009703
                      4,                  1.111,                 2.0417,                  1.368,                0.79119,                0.71992,                 0.7912,                0.60324,                0.93775,                 1.2068,                 1.3868,               0.009703,               0.009703,               0.009703
                      5,                 1.0707,                 1.8092,                 1.3365,                0.87042,                0.74408,                0.83614,                0.64843,                0.90999,                 1.0464,                 1.3557,               0.009604,               0.009604,               0.009604
                      6,                 1.0315,                 1.6427,                 1.3061,                0.84226,                0.75956,                0.84549,                0.65925,                0.85655,                0.98852,                 1.3083,               0.009505,               0.009505,               0.009505
                      7,                 1.0179,                 1.5723,                 1.2993,                0.87452,                0.78651,                0.87684,                0.69558,                0.81944,                0.89643,                 1.2892,               0.009406,               0.009406,               0.009406
                      8,                 0.9765,                 1.4345,                 1.2732,                0.87671,                 0.8105,                0.87929,                0.68898,                0.85494,                0.87983,                 1.2996,               0.009307,               0.009307,               0.009307
                      9,                0.96835,                 1.3749,                 1.2676,                0.89524,                0.79739,                 0.8879,                0.70006,                0.81312,                0.81418,                 1.2686,               0.009208,               0.009208,               0.009208
                     10,                0.95897,                 1.3333,                 1.2576,                0.92527,                0.79421,                0.89074,                0.70298,                 0.7989,                0.80526,                 1.2679,               0.009109,               0.009109,               0.009109
                     11,                0.93476,                 1.2769,                 1.2426,                0.91279,                0.82167,                0.90774,                0.71811,                0.80873,                0.74366,                 1.2504,                0.00901,                0.00901,                0.00901
                     12,                0.92615,                 1.2291,                 1.2324,                0.91181,                0.84139,                0.91123,                0.72126,                0.81135,                0.71584,                 1.2406,               0.008911,               0.008911,               0.008911
                     13,                0.91233,                 1.2055,                 1.2292,                0.91195,                0.82495,                0.91609,                0.73792,                0.75263,                0.69705,                 1.2307,               0.008812,               0.008812,               0.008812
                     14,                0.90924,                 1.1904,                 1.2288,                0.92935,                0.83799,                0.92158,                0.74228,                0.76336,                0.66823,                  1.225,               0.008713,               0.008713,               0.008713
                     15,                0.89657,                 1.1534,                 1.2132,                0.91742,                0.84362,                0.91699,                0.73113,                0.77388,                 0.6806,                 1.2391,               0.008614,               0.008614,               0.008614
                     16,                0.88738,                 1.1203,                 1.2087,                 0.9258,                0.84283,                0.92387,                0.73825,                0.77152,                0.65148,                 1.2299,               0.008515,               0.008515,               0.008515
                     17,                0.88055,                 1.0935,                 1.2022,                0.89255,                  0.859,                0.91898,                0.74555,                0.74202,                0.66044,                 1.2045,               0.008416,               0.008416,               0.008416
